departure,return,departure_id,departure_name,return_id,return_name,distance (m),duration (sec.),avg_speed (km/h),departure_latitude,departure_longitude,return_latitude,return_longitude,Air temperature (degC)
3/23/2020 7:34,3/23/2020 7:46,4,Viiskulma,17,Varsapuistikko,1772,690,0.154086957,60.1609859,24.9417758,60.1731029,24.94951927,1.1
3/23/2020 7:34,3/23/2020 7:59,142,Koskelantie,34,Kansallismuseo,0,1500,0,60.208749,24.9465139,60.1739641,24.9329875,1.1
3/23/2020 7:36,3/23/2020 7:51,62,Länsisatamankatu,17,Varsapuistikko,3276,917,0.214351145,60.1589276,24.909692,60.1731029,24.94951927,1.1
3/23/2020 7:37,3/23/2020 8:10,262,Siilitie (M),134,Haukilahdenkatu,7775,1986,0.23489426,60.20596245,25.04516116,60.1985314,24.9676708,1.1
3/23/2020 7:37,3/23/2020 7:50,112,Rautatieläisenkatu,134,Haukilahdenkatu,2291,775,0.177367742,60.2014382,24.9332721,60.1985314,24.9676708,1.1
3/23/2020 7:40,3/23/2020 7:42,34,Kansallismuseo,37,Töölönkatu,0,158,0,60.1739641,24.9329875,60.1775598,24.9283272,1.1
3/23/2020 7:40,3/23/2020 7:47,32,Eläinmuseo,29,Baana,1041,449,0.139109131,60.17135891,24.93189751,60.164088,24.9225658,1.1
3/23/2020 7:40,3/23/2020 7:59,133,Paavalinpuisto,25,Narinkka,4124,1097,0.22556062,60.1974886,24.9614385,60.17004204,24.93460698,1.1
3/23/2020 7:42,3/23/2020 8:10,128,Päijänteentie,30,Itämerentori,5462,1655,0.198018127,60.1920576,24.9642238,60.1635309,24.9145165,1.1
3/23/2020 7:43,3/23/2020 7:55,64,Tyynenmerenkatu,72,Eteläinen Hesperiankatu,2319,769,0.180936281,60.156838,24.920661,60.17558787,24.91566275,1.1
3/23/2020 7:43,3/23/2020 7:52,207,Vanha Viertotie,90,Paciuksenkaari,2409,534,0.270674157,60.2110753,24.88166025,60.1944475,24.8911179,1.1
3/23/2020 7:45,3/23/2020 7:57,117,Brahen puistikko,112,Rautatieläisenkatu,1651,714,0.138739496,60.1896706,24.9481024,60.2014382,24.9332721,1.1
3/23/2020 7:45,3/23/2020 8:25,31,Marian sairaala,21,Töölönlahdenkatu,1125,239,0.282426778,60.1680998,24.9220763,60.17219068,24.93930791,1.1
3/23/2020 7:45,3/23/2020 7:59,255,Laivalahden puistotie,260,Herttoniemi (M),0,861,0,60.1879581,25.03138531,60.19461462,25.02887208,1.1
3/23/2020 7:46,3/23/2020 7:55,31,Marian sairaala,74,Rajasaarentie,0,557,0,60.1680998,24.9220763,60.183137,24.911127,1.1
3/23/2020 7:46,3/23/2020 7:46,3,Kapteeninpuistikko,3,Kapteeninpuistikko,0,24,0,60.1581892,24.9449274,60.1581892,24.9449274,1.1
3/23/2020 7:48,3/23/2020 8:02,94,Laajalahden aukio,73,Kesäkatu,3097,816,0.227720588,60.19793091,24.87622172,60.1792967,24.9132504,1.1
3/23/2020 7:49,3/23/2020 7:58,62,Länsisatamankatu,6,Hietalahdentori,1014,515,0.118135922,60.1589276,24.909692,60.1622251,24.9297099,1.1
3/23/2020 7:50,3/23/2020 8:03,75,Korjaamo,118,Fleminginkatu,3011,808,0.223589109,60.1838677,24.9198371,60.1895417,24.9521601,1.1
3/23/2020 7:50,3/23/2020 8:02,133,Paavalinpuisto,142,Koskelantie,2401,711,0.202616034,60.1974886,24.9614385,60.208749,24.9465139,1.1
3/23/2020 7:51,3/23/2020 7:55,262,Siilitie (M),267,Roihupelto,804,202,0.238811881,60.20596245,25.04516116,60.209287,25.055528,1.1
3/23/2020 7:52,3/23/2020 8:11,23,Kiasma,80,Jäähalli,3224,1143,0.169238845,60.1712579,24.9374279,60.1894025,24.9205978,1.1
3/23/2020 7:52,3/23/2020 8:07,19,Rautatientori / itä,48,Mastokatu,1838,868,0.127050691,60.1708236,24.9425268,60.1647545,24.9674861,1.1
3/23/2020 7:55,3/23/2020 8:14,137,Arabian kauppakeskus,150,Töölönlahden puisto,3857,1168,0.198133562,60.2027912,24.9666128,60.174646,24.935186,1.1
3/23/2020 7:55,3/23/2020 8:07,128,Päijänteentie,150,Töölönlahden puisto,3026,703,0.25826458,60.1920576,24.9642238,60.174646,24.935186,1.1
3/23/2020 7:56,3/23/2020 8:02,75,Korjaamo,37,Töölönkatu,824,336,0.147142857,60.1838677,24.9198371,60.1775598,24.9283272,1.1
3/23/2020 7:56,3/23/2020 8:02,52,Heikkilänaukio,54,Gyldenintie,669,329,0.122006079,60.1540763,24.8793159,60.1583842,24.8766658,1.1
3/23/2020 7:57,3/23/2020 14:45,88,Kiskontie,40,Hakaniemi (M),4312,1385,0.186801444,60.1989402,24.9012997,60.17810632,24.95218125,1.1
3/23/2020 7:57,3/23/2020 8:11,88,Kiskontie,131,Elimäenkatu,2901,831,0.209458484,60.1989402,24.9012997,60.1962627,24.9476186,1.1
3/23/2020 7:57,3/23/2020 8:08,144,Käpyläntie,231,Siltavoudintie,2554,631,0.242852615,60.2139043,24.9588108,60.23370686,24.96539508,1.1
3/23/2020 7:57,3/23/2020 8:16,88,Kiskontie,41,Ympyrätalo,3887,1113,0.209541779,60.1989402,24.9012997,60.180863,24.9494,1.1
3/23/2020 7:58,3/23/2020 8:40,39,Ooppera,116,Linnanmäki,2987,2468,0.072617504,60.1825529,24.926687,60.1911411,24.9401593,1.1
3/23/2020 7:59,3/23/2020 8:04,254,Agnetankuja,259,Petter Wetterin tie,0,294,0,60.18723412,25.03641229,60.19313763,25.03111194,1.1
3/23/2020 7:59,3/23/2020 15:28,85,Jalavatie,104,Kriikunakuja,1754,540,0.194888889,60.1934696,24.905889,60.2056785,24.8916817,1.1
3/23/2020 8:03,3/23/2020 8:06,37,Töölönkatu,34,Kansallismuseo,504,179,0.168938547,60.1775598,24.9283272,60.1739641,24.9329875,1.5
3/23/2020 8:05,3/23/2020 8:31,31,Marian sairaala,72,Eteläinen Hesperiankatu,1894,1562,0.072752881,60.1680998,24.9220763,60.17558787,24.91566275,1.5
3/23/2020 8:06,3/23/2020 8:10,645,Piispankallio,581,Niittykumpu (M),1114,267,0.250337079,60.168441,24.743532,60.170758,24.763184,1.5
3/23/2020 8:06,3/23/2020 8:22,18,Porthania,14,Senaatintori,871,930,0.056193548,60.16986223,24.9481464,60.1691278,24.9526414,1.5
3/23/2020 8:06,3/23/2020 8:10,34,Kansallismuseo,24,Mannerheimintie,645,187,0.206951872,60.1739641,24.9329875,60.1690724,24.9394195,1.5
3/23/2020 8:07,3/23/2020 8:22,142,Koskelantie,111,Esterinportti,2233,912,0.146907895,60.208749,24.9465139,60.1975724,24.9267808,1.5
3/23/2020 8:07,3/23/2020 8:16,22,Rautatientori / länsi,30,Itämerentori,2119,561,0.226631016,60.1706061,24.9397601,60.1635309,24.9145165,1.5
3/23/2020 8:08,3/23/2020 8:17,137,Arabian kauppakeskus,128,Päijänteentie,0,552,0,60.2027912,24.9666128,60.1920576,24.9642238,1.5
3/23/2020 8:09,3/23/2020 8:28,37,Töölönkatu,72,Eteläinen Hesperiankatu,2918,1144,0.153041958,60.1775598,24.9283272,60.17558787,24.91566275,1.5
3/23/2020 8:10,3/23/2020 8:24,134,Haukilahdenkatu,134,Haukilahdenkatu,3308,891,0.222760943,60.1985314,24.9676708,60.1985314,24.9676708,1.5
3/23/2020 8:10,3/23/2020 8:26,39,Ooppera,118,Fleminginkatu,2525,945,0.16031746,60.1825529,24.926687,60.1895417,24.9521601,1.5
3/23/2020 8:11,3/23/2020 8:15,22,Rautatientori / länsi,11,Unioninkatu,910,281,0.19430605,60.1706061,24.9397601,60.1674573,24.9510227,1.5
3/23/2020 8:11,3/23/2020 8:24,30,Itämerentori,54,Gyldenintie,0,726,0,60.1635309,24.9145165,60.1583842,24.8766658,1.5
3/23/2020 8:12,3/23/2020 8:16,72,Eteläinen Hesperiankatu,74,Rajasaarentie,922,232,0.238448276,60.17558787,24.91566275,60.183137,24.911127,1.5
3/23/2020 8:13,3/23/2020 8:22,30,Itämerentori,161,Eteläesplanadi,2213,556,0.23881295,60.1635309,24.9145165,60.16723083,24.94746582,1.5
3/23/2020 8:13,3/23/2020 8:23,150,Töölönlahden puisto,29,Baana,1756,601,0.17530782,60.174646,24.935186,60.164088,24.9225658,1.5
3/23/2020 8:14,3/23/2020 14:32,123,Näkinsilta,130,Teollisuuskatu,2658,766,0.208198433,60.179765,24.9554618,60.193486,24.9487524,1.5
3/23/2020 8:14,3/23/2020 8:26,270,Tulisuontie,254,Agnetankuja,2397,692,0.20783237,60.20207299,25.0600466,60.18723412,25.03641229,1.5
3/23/2020 8:14,3/23/2020 14:46,142,Koskelantie,40,Hakaniemi (M),4241,1574,0.161664549,60.208749,24.9465139,60.17810632,24.95218125,1.5
3/23/2020 8:15,3/23/2020 8:25,23,Kiasma,64,Tyynenmerenkatu,2272,625,0.218112,60.1712579,24.9374279,60.156838,24.920661,1.5
3/23/2020 8:16,3/23/2020 8:23,30,Itämerentori,64,Tyynenmerenkatu,0,407,0,60.1635309,24.9145165,60.156838,24.920661,1.5
3/23/2020 8:17,3/23/2020 8:30,41,Ympyrätalo,80,Jäähalli,2391,735,0.195183673,60.180863,24.9494,60.1894025,24.9205978,1.5
3/23/2020 8:18,3/23/2020 8:23,128,Päijänteentie,126,Kalasatama (M),998,275,0.217745455,60.1920576,24.9642238,60.18755649,24.9770684,1.5
3/23/2020 8:18,3/24/2020 14:10,559,Pohjankulma,721,Säterinrinne,4537,1351,0.201495189,60.18288,24.794014,60.214193,24.805613,1.5
3/23/2020 8:18,3/23/2020 8:45,142,Koskelantie,144,Käpyläntie,5533,1629,0.203793738,60.208749,24.9465139,60.2139043,24.9588108,1.5
3/23/2020 8:18,3/23/2020 8:43,16,Liisanpuistikko,16,Liisanpuistikko,6187,1450,0.256013793,60.1741822,24.9613747,60.1741822,24.9613747,1.5
3/23/2020 8:18,3/23/2020 8:22,32,Eläinmuseo,19,Rautatientori / itä,667,186,0.21516129,60.17135891,24.93189751,60.1708236,24.9425268,1.5
3/23/2020 8:19,3/23/2020 8:42,16,Liisanpuistikko,16,Liisanpuistikko,6158,1431,0.258197065,60.1741822,24.9613747,60.1741822,24.9613747,1.5
3/23/2020 8:19,3/23/2020 8:34,140,Verkatehtaanpuisto,128,Päijänteentie,7883.33,946,0.499999789,60.2137007,24.9797283,60.1920576,24.9642238,1.5
3/23/2020 8:19,3/23/2020 8:45,95,Munkkiniemen aukio,17,Varsapuistikko,5936,1555,0.229041801,60.1967196,24.8840917,60.1731029,24.94951927,1.5
3/23/2020 8:19,3/23/2020 8:23,745,Leppävaaran urheilupuisto,737,Muurarinkuja,646,220,0.176181818,60.224943,24.800971,60.223769,24.812271,1.5
3/23/2020 8:20,3/23/2020 8:28,26,Kamppi (M),4,Viiskulma,1272,450,0.1696,60.1686095,24.9305373,60.1609859,24.9417758,1.5
3/23/2020 8:20,3/23/2020 8:21,53,Heikkiläntie,53,Heikkiläntie,0,17,0,60.156817,24.8850653,60.156817,24.8850653,1.5
3/23/2020 8:21,3/23/2020 8:41,11,Unioninkatu,126,Kalasatama (M),4149,1216,0.204720395,60.1674573,24.9510227,60.18755649,24.9770684,1.5
3/23/2020 8:21,3/23/2020 8:38,131,Elimäenkatu,147,Käpylän asema,3387,1008,0.201607143,60.1962627,24.9476186,60.22080571,24.94792903,1.5
3/23/2020 8:21,3/23/2020 8:39,53,Heikkiläntie,4,Viiskulma,3900,1090,0.214678899,60.156817,24.8850653,60.1609859,24.9417758,1.5
3/23/2020 8:21,3/25/2020 10:17,48,Mastokatu,20,Kaisaniemenpuisto,2002,508,0.236456693,60.1647545,24.9674861,60.17319894,24.943301,1.5
3/23/2020 8:21,3/23/2020 8:33,30,Itämerentori,49,Annankatu,1907,696,0.164396552,60.1635309,24.9145165,60.16345894,24.94177084,1.5
3/23/2020 8:21,3/23/2020 8:30,37,Töölönkatu,11,Unioninkatu,2117,499,0.254549098,60.1775598,24.9283272,60.1674573,24.9510227,1.5
3/23/2020 8:22,3/23/2020 8:33,117,Brahen puistikko,34,Kansallismuseo,0,639,0,60.1896706,24.9481024,60.1739641,24.9329875,1.5
3/23/2020 8:22,3/23/2020 9:50,19,Rautatientori / itä,26,Kamppi (M),1065,5261,0.01214598,60.1708236,24.9425268,60.1686095,24.9305373,1.5
